Startup,Industry,Technology,Region,Employee count,Total funding €,Website
CARDIOMED EUROPE PC,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Software",Central Macedonia,2,10K
Carge - a PPC Group Company,Mobility,"AI, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,8,327K
CARGOSHARE P.C.,Maritime,"Networks, Software",Attica,4,32K
Centaur Technologies P.C.,AgriTech / FoodTech,"Blockchain, Cleantech, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Thessaly,20,3.7M
CGWORKS IDIOTIKH KEFALAIOYXIKH ETAIREIA,Advertising & Marketing (AdTech),"AR/VR, Software, Web or Mobile Application",Attica,7,-
CIBOS Innovation,Logistics & Transportation,"AR/VR, Data Analytics - Big Data, Distributed Ledger, Drones, IoT, Sensors, Software, Web or Mobile Application",Attica,5,390K
Cinobo,"Art, Cultural & Creative Industries","Other, Web or Mobile Application",Attica,19,244K
Circuits Integrated Hellas IKE,Other,"Hardware, IoT, Networks, Sensors",Attica,7,-
CityCrop Automated Indoor Farming P.C,AgriTech / FoodTech,"AI, Data Analytics - Big Data, Hardware, IoT, Other, Robotics, Sensors, Software, Web or Mobile Application",Attica,7,51K
CLICKTOTHERAPY I.K.E,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Web or Mobile Application",Attica,7,200K
Clio Muse Tours,Travel / Hospitality / Leisure,"AR/VR, Software, Web or Mobile Application",Attica,14,500K
cloudeo Hellas P.C.,InsurTech - Insurance,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Software, Web or Mobile Application",Attica,4,-
Cloudpharm Private Company,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Other",Attica,9,500K
Cocoon Modules PC,"Real Estate (PropTech, Construction)","Hardware, Other",Attica,6,-
Code BGP,Other,"Cloud Computing, Networks, Software, Web or Mobile Application",Crete,9,1.2M
CODE4THOUGHT IKE,Other,"AI, Software",Western Greece,10,-
Codebender R&D Hellas,Other,"Cloud Computing, IoT, Software, Web or Mobile Application",Western Greece,1,830K
CODEFUNNELS PRIVATE COMPANY,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Other, Web or Mobile Application",Western Greece,22,100K
Coffe-Eco,AgriTech / FoodTech,"Cleantech, Hardware, Other",Western Greece,6,300K
Cogninn,Other,"AI, AR/VR, Cloud Computing, IoT, Networks",Attica,5,100K
Cognitiv+,LegalTech / RegTech,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,16,-
COGNITO IKE,Advertising & Marketing (AdTech),"AR/VR, Hardware, Other, Software, Web or Mobile Application",Attica,-,-
Cold Brew Innovations PC,AgriTech / FoodTech,Other,Attica,3,101K
Collaborate Healthcare,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Software, Web or Mobile Application",Attica,8,215K
CollegeLink IKE,Human Resources,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,40,380K
COMETOGETHER PC,Other,"Blockchain, Cloud Computing, Distributed Ledger, Software, Web or Mobile Application",Central Macedonia,10,482K
CompareGreece Ασφαλιστικός Πράκτορας Μον. ΙΚΕ (Pricefox),InsurTech - Insurance,Web or Mobile Application,Attica,21,-
