Startup,Industry,Technology,Region,Employee count,Total funding €,Website
'I LOVE DYSLEXIA' ENGLISH LANGUAGE INNOVATION (ELI) IKE,EduTech - Education,"AI, Software, Web or Mobile Application",Attica,13,215
100 MENTORS IKE,EduTech - Education,"AI, Blockchain, Data Analytics - Big Data, Software, Web or Mobile Application",Crete,21,-
12GODS PC,AgriTech / FoodTech,Other,Attica,1,37K
27 Research,Maritime,"AI, Data Analytics - Big Data",Attica,-,-
33 CLOUDS IKE,Data Analytics - Big Data,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,9,-
360 Trust Services,Other,"AI, Data Analytics - Big Data, Robotics, Software, Web or Mobile Application",Attica,4,-
3DHUB Ι.Κ.Ε.,Manufacturing,"3D Printing, AR/VR, Hardware, Other, Robotics, Software",Attica,4,-
3H Services-Holistic House Handling Μ.ΙΚΕ,Travel / Hospitality / Leisure,"IoT, Other, Software",Attica,1,-
[i2.d] technologies,Other,Cloud Computing,Attica,3,-
A FINE HOUSE SA,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Attica,10,-
A.D.W.K. ADWORK,Advertising & Marketing (AdTech),"AI, AR/VR, Data Analytics - Big Data, Diagnostic/Imaging, Software, Web or Mobile Application",Attica,3,-
A2Z ENERGY SOLUTIONS,"Environment & Energy (GreenTech, CleanTech)",Other,Attica,7,-
ABCURED ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data, Diagnostic/Imaging, Other",Eastern Macedonia and Thrace,-,-
ACCELIGENCE HELLAS LTD,Manufacturing,"3D Printing, AI, Drones, Hardware, IoT, Robotics, Software",Attica,1,-
Acromove Europe single member P.C.,Manufacturing,"AR/VR, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Networks, Software",Attica,7,-
act4energy P.C. / ΤΕΧΝΟΛΟΓΙΕΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΒΙΟΑΕΡΙΟΥ Ι.Κ.Ε.,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Data Analytics - Big Data, Hardware",Epirus,2,35
ADMES ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Other,"Data Analytics - Big Data, Diagnostic/Imaging, Sensors, Software",Crete,9,-
Advanced Biochemicals and Consulting PSE,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Attica,7,100K
Advanced Intelligent Robotics I.K.E.,AgriTech / FoodTech,"AI, Cloud Computing, Drones, Hardware, IoT, Robotics, Software",Attica,5,326K
ADVANTIS MEDICAL IMAGING,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Diagnostic/Imaging, Software, Web or Mobile Application",Attica,13,2.33M
ADVISABLE IKE,RetailTech – E-Commerce - FashionTech,"AI, Web or Mobile Application",Attica,28,-
AERO APARTION IKE,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Attica,3,100K
AETHER AERONAUTICS PC,Manufacturing,Drones,Crete,14,-
AGENSO = AGRICULTURAL & ENVIRONMENTAL SOLUTIONS PRIVATE COMPANY,AgriTech / FoodTech,"Hardware, IoT, Robotics, Sensors, Software, Web or Mobile Application",Attica,15,-
Agritrack,AgriTech / FoodTech,"AI, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Sensors, Web or Mobile Application",Attica,11,-
AgroApps,AgriTech / FoodTech,"Data Analytics - Big Data, Diagnostic/Imaging, IoT, Other, Software",Central Macedonia,22,-
Agroknow IKE,AgriTech / FoodTech,"AI, Data Analytics - Big Data, Software",Attica,13,1.67M
AGROMET IDIOTIKI KEFALAIOUCHIKI ETAIREIA,AgriTech / FoodTech,"Data Analytics - Big Data, Drones, Hardware, IoT, Other, Robotics, Sensors, Software, Web or Mobile Application",Central Macedonia,10,-
AI and Me,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Software",Epirus,-,-
AIDPLEX ΜIKE,"Life Sciences (MedTech, HealthTech, BioTech)","3D Printing, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Central Macedonia,5,511K
AIRSTAY PC,Advertising & Marketing (AdTech),"Other, Software, Web or Mobile Application",Attica,5,-
Aisthesis Medical,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Software, Web or Mobile Application",Attica,3,-
AKRONIC - Akron Integrated Circuits P.C.,Other,"Hardware, IoT, Nanotech, Other, Sensors",Attica,11,485K
AKu s.m.p.c.,Manufacturing,"3D Printing, Hardware, Other",Attica,2,100K
ALEXANDRA CHRISTOU MONOPROSOPI IKE,RetailTech – E-Commerce - FashionTech,Other,Attica,7,650K
Allcancode Inc,Other,"AI, Cloud Computing, Software, Web or Mobile Application",Attica,7,490K
AlongRoute Data I.K.E.,"Environment & Energy (GreenTech, CleanTech)","AI, Data Analytics - Big Data",Central Macedonia,-,-
