Website, HTML
YES, https://registry.elevategreece.gov.gr/company/i-love-dyslexia-english-language-innovation-eli-ike/
YES, https://registry.elevategreece.gov.gr/company/100-mentors-ike/
YES, https://registry.elevategreece.gov.gr/company/12gods-pc/
YES, https://registry.elevategreece.gov.gr/company/27-research/
YES, https://registry.elevategreece.gov.gr/company/33-clouds-ike/
YES, https://registry.elevategreece.gov.gr/company/360-trust-services/
NO, https://registry.elevategreece.gov.gr/company/3dhub-ικε/
NO, https://registry.elevategreece.gov.gr/company/3h-servicesholistic-house-handling-μικε/
NO, https://registry.elevategreece.gov.gr/company/i2d-technologies/
YES, https://registry.elevategreece.gov.gr/company/a-fine-house-sa/
NO, https://registry.elevategreece.gov.gr/company/adwk-adwork/
YES, https://registry.elevategreece.gov.gr/company/a2z-energy-solutions/
YES, https://registry.elevategreece.gov.gr/company/abcured-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/acceligence-hellas-ltd/
NO, https://registry.elevategreece.gov.gr/company/acromove-europe-single-member-pc/
NO, https://registry.elevategreece.gov.gr/company/act4energy-pc--τεχνολογιες-περιβαλλοντος-και-βιοαεριου-ικε/
YES, https://registry.elevategreece.gov.gr/company/admes-μονοπροσωπη-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/advanced-biochemicals-and-consulting-pse/
NO, https://registry.elevategreece.gov.gr/company/advanced-intelligent-robotics-ike/
YES, https://registry.elevategreece.gov.gr/company/advantis-medical-imaging/
YES, https://registry.elevategreece.gov.gr/company/advisable-ike/
YES, https://registry.elevategreece.gov.gr/company/aero-apartion-ike/
YES, https://registry.elevategreece.gov.gr/company/aether-aeronautics-pc/
YES, https://registry.elevategreece.gov.gr/company/agenso--agricultural--environmental-solutions-private-company/
YES, https://registry.elevategreece.gov.gr/company/agritrack/
YES, https://registry.elevategreece.gov.gr/company/agroapps/
YES, https://registry.elevategreece.gov.gr/company/agroknow-ike/
YES, https://registry.elevategreece.gov.gr/company/agromet-idiotiki-kefalaiouchiki-etaireia/
YES, https://registry.elevategreece.gov.gr/company/ai-and-me/
YES, https://registry.elevategreece.gov.gr/company/aidplex-μike/
YES, https://registry.elevategreece.gov.gr/company/airstay-pc/
YES, https://registry.elevategreece.gov.gr/company/aisthesis-medical/
NO, https://registry.elevategreece.gov.gr/company/akronic--akron-integrated-circuits-pc/
NO, https://registry.elevategreece.gov.gr/company/aku-smpc/
YES, https://registry.elevategreece.gov.gr/company/alexandra-christou-monoprosopi-ike/
YES, https://registry.elevategreece.gov.gr/company/allcancode-inc/
NO, https://registry.elevategreece.gov.gr/company/alongroute-data-ike/
NO, https://registry.elevategreece.gov.gr/company/althexis-pc/
YES, https://registry.elevategreece.gov.gr/company/altosight-ike/
YES, https://registry.elevategreece.gov.gr/company/alumni-reach-private-company/
NO, https://registry.elevategreece.gov.gr/company/alvion-pharmaceuticals-single-member-pc/
NO, https://registry.elevategreece.gov.gr/company/amen-new-technologies-ike/
YES, https://registry.elevategreece.gov.gr/company/anacalypsis-therapeutics-pc/
YES, https://registry.elevategreece.gov.gr/company/anelixis-pc/
YES, https://registry.elevategreece.gov.gr/company/anelysis-pcc/
NO, https://registry.elevategreece.gov.gr/company/aphetor-υποκαταστημα-αλλοδαπης-επε/
NO, https://registry.elevategreece.gov.gr/company/apifon-sa/
