Startup,Industry,Technology,Region,Employee count,Total funding €,Website
ΕΙΡΜΟΣ Ιδιωτική Κεφαλαιουχική Εταιρεία,Advertising & Marketing (AdTech),"Data Analytics - Big Data, Software",Central Macedonia,1,100K
ΕΝΑΛΙΕΣ ΤΕΧΝΟΛΟΓΙΕΣ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Maritime,"AI, AR/VR, Drones, Hardware, Other, Robotics, Sensors, Software",Central Macedonia,1,-
ΕΡΕΥΝΑ ΚΑΙ ΑΝΑΠΤΥΞΗ ΣΤΗΝ ΙΑΤΡΙΚΗ ΠΛΗΡΟΦΟΡΙΚΗ - HISPIN Ι.Κ.Ε,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Central Macedonia,4,-
ΙΜΟΝ International,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, IoT, Networks, Sensors, Software, Web or Mobile Application",Attica,3,-
ΚΕΕΑΝΟ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Travel / Hospitality / Leisure,"Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Drones, Software, Web or Mobile Application",Attica,5,330K
ΛΕΡΝΑ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, IoT, Sensors, Software",Attica,3,-
ΝΕΤΦΟΞ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΟΥ ΔΙΚΤΥΟΥ,Other,"AI, IoT, Networks, Sensors",Attica,9,2M
ΝΙΟΥ ΚΟ ΤΕΧΝΟΛΟΓΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (NEW CO S.A),Security,"AI, Blockchain, Data Analytics - Big Data, Distributed Ledger, IoT, Software",Attica,10,100K
ΠΡΑΓΜΑΤΕΥΦΥΙΑ ΙΚΕ - THINGENIOUS PC,Other,"AI, Blockchain, IoT, Networks, Robotics, Sensors, Software, Web or Mobile Application",Attica,3,68
Προνοώ Μονοπρόσωπη I.K.E. (Pronoo Monoprosopi I.K.E.),"Life Sciences (MedTech, HealthTech, BioTech)","Software, Web or Mobile Application",Attica,1,-
