Website, HTML
YES, https://registry.elevategreece.gov.gr/company/i-love-dyslexia-english-language-innovation-eli-ike/
YES, https://registry.elevategreece.gov.gr/company/100-mentors-ike/
YES, https://registry.elevategreece.gov.gr/company/12gods-pc/
YES, https://registry.elevategreece.gov.gr/company/27-research/
YES, https://registry.elevategreece.gov.gr/company/33-clouds-ike/
YES, https://registry.elevategreece.gov.gr/company/360-trust-services/
NO, https://registry.elevategreece.gov.gr/company/3dhub-ικε/
NO, https://registry.elevategreece.gov.gr/company/3h-servicesholistic-house-handling-μικε/
NO, https://registry.elevategreece.gov.gr/company/i2d-technologies/
YES, https://registry.elevategreece.gov.gr/company/a-fine-house-sa/
