Startup,Industry,Technology,Region,Employee count,Total funding €,Website
Metis Seagrass Single Member Private Company,"Environment & Energy (GreenTech, CleanTech)",Cleantech,Attica,2,-
Mindmed IKE,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Blockchain, Data Analytics - Big Data, IoT, Sensors, Software, Web or Mobile Application",Central Macedonia,-,-
MINDS Technologies & Environmental Sciences PC,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Diagnostic/Imaging, Other, Web or Mobile Application",Attica,-,-
Missionware PC,Security,"Cloud Computing, IoT, Software, Web or Mobile Application",Central Macedonia,2,-
Mist.io,Other,"Cloud Computing, Software",Thessaly,8,-
MNLT INNOVATIONS IKE,Mobility,"Hardware, Nanotech, Other",Attica,1,-
"Mobile app that allows you to place your order and pay using your mobile phone,",AgriTech / FoodTech,"AI, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Central Greece,-,-
mobilo pc,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Web or Mobile Application",Attica,7,-
MOJESTIK P.C.,AgriTech / FoodTech,"Data Analytics - Big Data, Other, Software, Web or Mobile Application",Central Macedonia,2,-
Moptil - Mobile Optical Illusions,"Art, Cultural & Creative Industries","AI, AR/VR, Software, Web or Mobile Application",Attica,8,1M
MORALIUS I.K.E.,"Real Estate (PropTech, Construction)","IoT, Software, Web or Mobile Application",Attica,8,-
Morphe Private Company,"Life Sciences (MedTech, HealthTech, BioTech)",3D Printing,Central Macedonia,2,-
MORPHOSES SKILLS ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,EduTech - Education,"Other, Software, Web or Mobile Application",Attica,8,-
MoveNow Technologies PC,Mobility,Software,Attica,2,148K
MR PENGU GREECE S.A.,Logistics & Transportation,"Data Analytics - Big Data, Hardware, Other, Software, Web or Mobile Application",Attica,35,-
MSB Technologies P.C.,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Drones, Networks, Sensors",Central Macedonia,-,-
MyHabeats I.K.E.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Networks, Software, Web or Mobile Application",Attica,2,192K
MyLingo P.C.,EduTech - Education,"Other, Software, Web or Mobile Application",Central Macedonia,11,-
MyLoup ΙΚΕ,Advertising & Marketing (AdTech),Other,Attica,-,-
Myrmex Inc,Logistics & Transportation,Robotics,Attica,40,4.37M
MZDP MANAGEMENT SERVICES OPTIMIZER SOLUTIONS ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Other, Software, Web or Mobile Application",Attica,-,-
Môveo.AI,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Software",Attica,16,-
Nannuka.com,Other,"AI, Software, Web or Mobile Application",Attica,12,-
Nanometrisis Private Company,Manufacturing,"AI, Nanotech, Software",Attica,2,-
Nanoplasmas Private Company,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Nanotech",Attica,5,449K
NANOVIIS ΕΜΠΟΡΙΚΗ Ι.Κ.Ε.,Manufacturing,"Cleantech, Nanotech",Attica,3,-
Narratologies,Travel / Hospitality / Leisure,"AR/VR, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,3,-
NATURE CRETE PHARMACEUTICALS Ι Κ Ε,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Crete,-,-
Naumed Ltd,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Thessaly,1,900
NComp,Other,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Quantum Computing, Software",Epirus,3,603K
Nefton Group Hellas,"Environment & Energy (GreenTech, CleanTech)","3D Printing, AI, AR/VR, Blockchain, Cleantech, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Distributed Ledger, Drones, Hardware, IoT, Nanotech, Networks, Other, Quantum Computing, Robotics, Sensors, Software, Web or Mobile Application",Central Macedonia,3,-
NEOFAR P.C.,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Western Greece,4,30
Neos Beyond Payments,Other,"Hardware, Other",Attica,-,-
Nephele,Travel / Hospitality / Leisure,"AI, Software, Web or Mobile Application",Crete,1,-
Net Zero Analytics (IKE),FinTech – Financial Services (WealthTech),"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,8,-
"Netdata, Inc.",Other,Software,Attica,45,25
Next Solutions S.A.,FinTech – Financial Services (WealthTech),"AI, Data Analytics - Big Data, Web or Mobile Application",Attica,-,-
Nimbata,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Web or Mobile Application",Attica,4,-
NK ENGINEERING DESIGN AND CONSULTING P.C.,"Environment & Energy (GreenTech, CleanTech)","3D Printing, Cleantech",Attica,2,-
Noesis Technologies,Manufacturing,"AI, AR/VR, Diagnostic/Imaging, Hardware, IoT, Robotics, Sensors, Software",Attica,-,-
Noma,AgriTech / FoodTech,Other,Attica,9,180K
NOMADA HONEY SODA,AgriTech / FoodTech,Central Greece,2,-
NOPSERVICES IKE,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,6,100
Norbloc AB,FinTech – Financial Services (WealthTech),Blockchain,Attica,9,-
NOSILEIA TORA P.C.,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Attica,24,-
NousPratIT IT Business Solutions PC,Advertising & Marketing (AdTech),"AI, IoT, Software, Web or Mobile Application",Attica,41,-
NOVOVILLE,Other,"Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,20,1.65M
NTZNS S.A.,RetailTech – E-Commerce - FashionTech,"AI, AR/VR, Blockchain, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,2,-
NUBIS IKE,Other,"AI, Cloud Computing, Data Analytics - Big Data, IoT, Networks, Software",Central Greece,5,-
NURBS PRODUCTIONS ΚΟΤΣΙΡΑΣ ΑΝΑΣΤΑΣΙΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,"Entertainment/Media (Games, Sports, Social)","Other, Software, Web or Mobile Application",Attica,-,-
